1.000000, 0.987688, 0.951057, 0.891007, 0.809017, 0.707107, 0.587785, 0.453990, 0.309017, 0.156434, 0.000000, -0.156434, -0.309017, -0.453990, -0.587785, -0.707107, -0.809017, -0.891007, -0.951057, -0.987688, -1.000000, 
0.951229, 0.989514, 1.003841, 0.993668, 0.959223, 0.901389, 0.821641, 0.722002, 0.604986, 0.473534, 0.330946, 0.180793, 0.026836, -0.127075, -0.277087, -0.419445, -0.550583, -0.667209, -0.766391, -0.845624, -0.902896, 
0.904837, 0.926337, 0.968679, 1.002178, 1.016319, 1.007534, 0.975020, 0.919314, 0.841778, 0.744400, 0.629686, 0.500577, 0.360374, 0.212652, 0.061171, -0.090215, -0.237656, -0.377399, -0.505878, -0.619809, -0.716261, 
0.860708, 0.887961, 0.906098, 0.944986, 0.988400, 1.021608, 1.036396, 1.029047, 0.998404, 0.944779, 0.869432, 0.774304, 0.661887, 0.535119, 0.397301, 0.252010, 0.103007, -0.045854, -0.190724, -0.327850, -0.453672, 
0.818731, 0.844298, 0.875694, 0.893001, 0.924853, 0.969482, 1.014303, 1.048148, 1.063962, 1.058131, 1.029346, 0.977779, 0.904601, 0.811714, 0.701590, 0.577161, 0.441728, 0.298868, 0.152343, 0.006007, -0.136290, 
0.778801, 0.805232, 0.830810, 0.866631, 0.886927, 0.912335, 0.952159, 1.000640, 1.047041, 1.081932, 1.098993, 1.094751, 1.067829, 1.018306, 0.947286, 0.856632, 0.748795, 0.626704, 0.493655, 0.353226, 0.209179, 
0.740818, 0.767330, 0.795738, 0.820513, 0.859493, 0.885980, 0.908608, 0.941481, 0.987120, 1.038770, 1.086858, 1.123029, 1.141484, 1.138888, 1.113840, 1.066356, 0.997485, 0.909056, 0.803504, 0.683748, 0.553082, 
0.704688, 0.731604, 0.759285, 0.790329, 0.814125, 0.853875, 0.887735, 0.912359, 0.939894, 0.979162, 1.029538, 1.084028, 1.133877, 1.171480, 1.191435, 1.190533, 1.167372, 1.121924, 1.055196, 0.968987, 0.865716, 
0.670320, 0.697593, 0.726040, 0.754522, 0.788795, 0.812431, 0.850440, 0.890429, 0.920871, 0.947131, 0.980026, 1.024871, 1.079359, 1.136503, 1.188170, 1.227314, 1.248847, 1.249680, 1.228418, 1.185006, 1.120417, 
0.637628, 0.665332, 0.694024, 0.724208, 0.752993, 0.790649, 0.815834, 0.850575, 0.893663, 0.931382, 0.960916, 0.990374, 1.028543, 1.078372, 1.136570, 1.196255, 1.249783, 1.290548, 1.313723, 1.316324, 1.296975, 
0.606531, 0.634694, 0.663889, 0.693917, 0.726182, 0.754838, 0.795316, 0.824081, 0.855715, 0.898441, 0.942223, 0.978199, 1.008593, 1.041950, 1.085165, 1.139540, 1.201174, 1.263325, 1.318749, 1.361198, 1.386065, 
0.576950, 0.605616, 0.635270, 0.666006, 0.697192, 0.731967, 0.760388, 0.802419, 0.836316, 0.866673, 0.906591, 0.953354, 0.996453, 1.031761, 1.064148, 1.101701, 1.149716, 1.208305, 1.273177, 1.337742, 1.395090, 
0.548812, 0.578015, 0.608197, 0.639334, 0.671720, 0.703776, 0.741430, 0.770058, 0.811999, 0.851425, 0.883284, 0.919901, 0.966170, 1.014589, 1.056908, 1.092550, 1.127646, 1.169496, 1.222078, 1.284622, 1.352586, 
0.522046, 0.551822, 0.582557, 0.614272, 0.646851, 0.681078, 0.713659, 0.754297, 0.784158, 0.824577, 0.868522, 0.904491, 0.939342, 0.982754, 1.033205, 1.082126, 1.124044, 1.160828, 1.199080, 1.245230, 1.302170, 
0.496585, 0.526967, 0.558292, 0.590563, 0.623842, 0.657772, 0.694116, 0.726932, 0.770222, 0.802706, 0.840971, 0.887349, 0.928827, 0.964699, 1.004919, 1.054136, 1.107157, 1.156153, 1.198186, 1.236732, 1.278417, 
0.472367, 0.503385, 0.535331, 0.568215, 0.602021, 0.636925, 0.672042, 0.710819, 0.743798, 0.788919, 0.825355, 0.861973, 0.908398, 0.955060, 0.994746, 1.033456, 1.079569, 1.133295, 1.187856, 1.236894, 1.279557, 
0.449329, 0.481014, 0.513613, 0.547131, 0.581585, 0.616907, 0.653547, 0.689618, 0.731093, 0.764523, 0.810308, 0.851467, 0.887996, 0.932710, 0.982715, 1.027833, 1.067877, 1.111096, 1.162709, 1.219794, 1.275306, 
0.427415, 0.459796, 0.493075, 0.527261, 0.562356, 0.598401, 0.635192, 0.673738, 0.710500, 0.754752, 0.789337, 0.834599, 0.880334, 0.918871, 0.961429, 1.012247, 1.062622, 1.106719, 1.149100, 1.197477, 1.253851, 
0.406570, 0.439673, 0.473662, 0.508542, 0.544323, 0.580997, 0.618669, 0.656836, 0.697517, 0.734755, 0.781558, 0.818323, 0.862262, 0.911464, 0.953883, 0.995307, 1.044808, 1.098652, 1.148237, 1.192686, 1.238755, 
0.386741, 0.420592, 0.455316, 0.490920, 0.527408, 0.564793, 0.603038, 0.642404, 0.681798, 0.724865, 0.762524, 0.811291, 0.851333, 0.893885, 0.944798, 0.992047, 1.034387, 1.081720, 1.136480, 1.191168, 1.240157, 
0.367879, 0.402503, 0.437988, 0.474339, 0.511563, 0.549664, 0.588669, 0.628460, 0.669624, 0.710051, 0.755707, 0.793996, 0.843845, 0.887987, 0.929948, 0.980765, 1.032506, 1.077982, 1.123887, 1.177386, 1.235244, 
